Well,Linker 1,Part 1,Linker 2,Part 2,Linker 3,Part 3,Linker 4,Part 4,Linker 5,Part 5
A1,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pCCW12,L1,TU_aro3_Var_pHHF1,L2,TU_dCas9_Var_pPGK1,L3,TU_gRNA_Cassette_Var_PheA4_TyrA2_gRNA
A2,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pPOP6,L1,TU_aro3_Var_pREV1,L2,TU_dCas9_Var_pPOP6,L3,TU_gRNA_Cassette_Var_PheA1_TyrA5_gRNA
A3,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pREV1,L1,TU_aro3_Var_pPOP6,L2,TU_dCas9_Var_pHHF1,L3,TU_gRNA_Cassette_Var_PheA6_TyrA0_gRNA
A4,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pREV1,L1,TU_aro3_Var_pPOP6,L2,TU_dCas9_Var_pCCW12,L3,TU_gRNA_Cassette_Var_PheA4_TyrA2_gRNA
A5,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pCCW12,L1,TU_aro3_Var_pPOP6,L2,TU_dCas9_Var_pREV1,L3,TU_gRNA_Cassette_Var_PheA0_TyrA6_gRNA
A6,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pPOP6,L1,TU_aro3_Var_pALD6,L2,TU_dCas9_Var_pHHF1,L3,TU_gRNA_Cassette_Var_PheA4_TyrA2_gRNA
A7,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pALD6,L1,TU_aro3_Var_pPOP6,L2,TU_dCas9_Var_pALD6,L3,TU_gRNA_Cassette_Var_PheA3_TyrA3_gRNA
A8,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pALD6,L1,TU_aro3_Var_pPGK1,L2,TU_dCas9_Var_pREV1,L3,TU_gRNA_Cassette_Var_PheA1_TyrA5_gRNA
A9,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pCCW12,L1,TU_aro3_Var_pALD6,L2,TU_dCas9_Var_pPGK1,L3,TU_gRNA_Cassette_Var_PheA3_TyrA3_gRNA
A10,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pPGK1,L1,TU_aro3_Var_pHHF1,L2,TU_dCas9_Var_pPGK1,L3,TU_gRNA_Cassette_Var_PheA5_TyrA1_gRNA
A11,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pPOP6,L1,TU_aro3_Var_pREV1,L2,TU_dCas9_Var_pPOP6,L3,TU_gRNA_Cassette_Var_PheA2_TyrA4_gRNA
A12,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pHHF1,L1,TU_aro3_Var_pPGK1,L2,TU_dCas9_Var_pPGK1,L3,TU_gRNA_Cassette_Var_PheA4_TyrA2_gRNA
B1,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pREV1,L1,TU_aro3_Var_pPOP6,L2,TU_dCas9_Var_pALD6,L3,TU_gRNA_Cassette_Var_PheA0_TyrA6_gRNA
B2,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pREV1,L1,TU_aro3_Var_pHHF1,L2,TU_dCas9_Var_pPGK1,L3,TU_gRNA_Cassette_Var_PheA2_TyrA4_gRNA
B3,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pALD6,L1,TU_aro3_Var_pPOP6,L2,TU_dCas9_Var_pHHF1,L3,TU_gRNA_Cassette_Var_PheA3_TyrA3_gRNA
B4,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pHHF1,L1,TU_aro3_Var_pALD6,L2,TU_dCas9_Var_pPOP6,L3,TU_gRNA_Cassette_Var_PheA0_TyrA6_gRNA
